Date,Auto,CNXcons,CNXenergy,NiftFinServ,NiftyFMCG,CNXInfra,Metal,PSE,PSU,Reality,Service
02-01-2012,33.56100098,16.93099976,70.37049805,33.69939941,101.039502,21.26199951,24.95100098,26.55649902,26.19399902,1.83100006,56.29299805
03-01-2012,34.14050049,17.18969971,71.97100098,34.95580078,102.157002,22.08,26.18649902,27.17449951,27.46449951,1.91449997,58.07700195
04-01-2012,33.86100098,16.94709961,71.6575,35.13790039,101.515,22.03300049,26.26649902,27.41850098,27.46300049,1.90800003,58.01649902
05-01-2012,34.2675,16.98949951,70.54399902,35.5201001,101.3079981,22.12399902,26.10100098,27.09199951,27.5,1.8725,58.16950195
06-01-2012,34.16,16.92800049,71.14600098,35.58,102.0675,21.85600098,26.01949951,26.82199951,27.33350098,1.85850006,58.04600098
09-01-2012,33.95850098,16.88579956,70.7475,35.47909912,101.832002,21.99949951,26.03899902,27.00199951,27.21399902,1.9025,57.93350098
10-01-2012,34.93550049,17.19959961,72.63450195,36.48699951,102.98,22.65100098,26.86350098,27.39300049,28.25149902,1.9975,59.12
11-01-2012,35.03949951,17.19959961,73.1525,36.48699951,102.4115039,22.73699951,27.485,27.53,28.60899902,2.08949997,59.08950195
12-01-2012,35.29850098,17.21699951,72.75049805,36.80199951,103.14,22.80300049,27.80949951,27.64,29.11699951,2.09350006,58.40450195
13-01-2012,35.31699951,17.4152002,72.93049805,37.32959961,103.5475,23.43149902,28.72300049,28.02600098,29.18899902,2.1375,58.7025
16-01-2012,35.57800049,17.46569946,71.6575,37.2122998,104.1559961,23.66850098,28.82399902,27.84350098,29.42050049,2.12600006,58.90950195
17-01-2012,36.43149902,17.46569946,73.69200195,37.2122998,104.8304981,24.35050049,29.84899902,28.38449951,30.0625,2.20350006,59.52899902
18-01-2012,36.00149902,17.67609985,75.58799805,37.63919922,104.6540039,24.02199951,29.27050049,28.11350098,29.95550049,2.22050003,59.11799805
19-01-2012,36.375,17.80849976,76.72799805,38.41620117,104.5115039,24.48649902,30.06850098,28.53100098,30.25050049,2.29899994,59.905
20-01-2012,36.64199951,17.80849976,77.52350098,38.41620117,102.1165039,24.66899902,30.02449951,28.82550049,31.22899902,2.31699997,60.81600098
23-01-2012,36.77949951,17.89060059,76.44700195,39.26790039,103.1579981,24.88199951,29.36149902,28.77550049,31.43850098,2.33649994,60.97149902
24-01-2012,37.30449951,17.89060059,77.21149902,39.26790039,103.3134961,25.54449951,29.85600098,28.8225,33.03199951,2.365,62.2125
25-01-2012,37.75399902,18.15469971,77.455,40.64050049,103.894502,25.58199951,30.42350098,29.21199951,33.09199951,2.36,62.69700195
27-01-2012,38.18550049,18.26060059,79.31450195,40.46209961,102.5784961,25.99050049,31.01649902,29.41100098,32.78600098,2.3025,62.97899902
30-01-2012,37.4975,17.97359985,77.50149902,39.38,101.8875,24.82699951,30.08300049,28.54550049,31.96850098,2.23050003,61.66600098
31-01-2012,38.365,18.27680054,78.90049805,40.7425,103.277002,25.30550049,30.73800049,28.85600098,32.86899902,2.31449997,63.3275
01-02-2012,39.1,18.46589966,79.5975,40.87629883,103.2609961,25.63,31.64649902,28.80850098,33.1475,2.33649994,63.40649902
02-02-2012,39.225,18.67689941,79.93399902,40.89590088,103.0915039,26.14699951,32.15300049,29.19050049,33.26600098,2.35850006,64.00200195
03-02-2012,39.44399902,18.86969971,80.9875,41.59279785,104.6609961,26.28600098,31.7925,29.64100098,33.65399902,2.40449997,64.82649902
06-02-2012,39.85300049,18.84589966,80.78899902,42.06589844,104.5179981,26.54,32.22850098,29.98850098,34.53800049,2.50449997,65.3075
07-02-2012,39.40949951,18.67920044,81.2075,41.95529785,104.8409961,25.9025,31.71550049,29.62300049,34.55100098,2.445,64.85649902
08-02-2012,39.69149902,18.67880005,82.175,42.05720215,104.9854981,25.88800049,32.22949951,29.83100098,35.06199951,2.5175,65.19700195
09-02-2012,40.40800049,18.81689941,82.405,42.69629883,105.2854981,25.99949951,32.86899902,30.12,35.3725,2.56649994,65.99350098
10-02-2012,40.31199951,18.7472998,81.70049805,42.31859863,104.9615039,25.89449951,33.105,30.05,35.37800049,2.54350006,65.63450195
13-02-2012,40.68649902,18.75390015,81.94799805,42.41120117,104.7954981,25.78550049,33.46850098,30.12149902,35.04399902,2.545,65.66299805
14-02-2012,41.54200195,18.8398999,81.67450195,42.73,104.854502,26.05300049,33.58449951,30.07649902,35.98699951,2.60399994,65.915
15-02-2012,42.93950195,19.1502002,81.95950195,44.07189941,105.0529981,27.07949951,34.29350098,30.59649902,36.90449951,2.72700012,67.7525
16-02-2012,42.96450195,19.25560059,81.11149902,44.26060059,104.995,27.22350098,33.675,30.65050049,37.68,2.7775,67.99450195
17-02-2012,42.77950195,19.24900024,81.73049805,44.7947998,105.4554981,27.53649902,33.69399902,31.03850098,38.42399902,2.8075,68.69700195
21-02-2012,42.90450195,19.3597998,83.18299805,45.09049805,105.8909961,27.82800049,33.98449951,31.30550049,38.87199951,2.93850006,69.01799805
22-02-2012,42.29299805,19.0297998,82.20799805,43.61410156,105.2804981,26.93550049,32.48399902,30.75,36.15149902,2.73299988,67.41399902
23-02-2012,41.8925,18.91849976,82.70700195,43.42850098,106.044502,26.7525,32.11699951,30.81199951,35.98649902,2.66649994,67.20600098
24-02-2012,41.69850098,18.9697998,81.60850098,42.41490234,106.295,26.38850098,32.47100098,30.54699951,35.2825,2.5975,66.47350098
27-02-2012,40.34100098,18.55300049,78.99,41.00600098,106.5490039,25.5425,30.83199951,29.94600098,33.56600098,2.455,64.52799805
28-02-2012,41.60049805,18.82099976,79.9425,42.27299805,106.4275,26.35100098,31.89399902,30.51899902,35.48,2.60700012,65.75549805
29-02-2012,41.59399902,18.88949951,81.82850098,42.03450195,105.6029981,26.27899902,32.36649902,30.96699951,35.63699951,2.63799988,65.70200195
01-03-2012,41.15700195,18.81949951,81.10149902,41.62600098,105.1754981,26.045,32.05699951,30.58199951,35.34949951,2.54350006,65.21399902
02-03-2012,41.14600098,18.8875,80.92649902,42.07399902,104.822002,26.18300049,32.10149902,30.36850098,35.69899902,2.48550003,65.675
05-03-2012,40.89800049,18.79099976,79.93149902,41.09899902,104.9454981,25.79050049,31.0775,29.865,34.82350098,2.39050003,64.65950195
06-03-2012,40.66899902,18.595,78.40049805,40.64100098,105.7490039,25.13300049,29.81100098,29.70449951,34.38199951,2.36600006,64.08299805
07-03-2012,40.71949951,18.58650024,77.26399902,40.89199951,105.805,25.06949951,29.39149902,29.22350098,34.33149902,2.3925,64.3325
09-03-2012,41.65,18.8025,78.38350098,42.48100098,105.6159961,25.73100098,30.905,29.8325,35.59449951,2.46449997,65.80700195
12-03-2012,41.93899902,18.82150024,79.28700195,42.79899902,105.707002,26.11649902,31.21949951,29.87350098,36.54600098,2.49199997,65.93
13-03-2012,41.94350098,18.95050049,81.11149902,43.17149902,106.9259961,26.45050049,32.13949951,30.43899902,36.70649902,2.54899994,66.49350098
14-03-2012,42.3725,19.07699951,81.50850098,43.68850098,107.84,26.73550049,32.12100098,30.84199951,37.52100098,2.52550003,66.98649902
15-03-2012,42.09,18.89699951,80.12899902,42.49700195,106.9209961,26.1925,31.70850098,30.24,36.46100098,2.4525,65.83450195
16-03-2012,42.15399902,18.77050049,77.46549805,42.0175,108.9459961,25.5625,31.06449951,29.37149902,35.2825,2.42,65.05
19-03-2012,41.97049805,18.68599976,76.455,41.15549805,110.2040039,25.06649902,30.82550049,29,34.17050049,2.35649994,63.8275
20-03-2012,41.32100098,18.73599976,76.91399902,41.51399902,111.3684961,25.1,30.8375,29.06550049,34.70649902,2.39100006,64.18899902
21-03-2012,41.92200195,19.01199951,77.50149902,42.49149902,112.4159961,25.80949951,31.41949951,29.44949951,35.47350098,2.47800003,65.52049805
22-03-2012,41.1875,18.66,75.11200195,41.2075,110.5340039,24.89449951,30.33949951,28.95600098,34.2125,2.37050003,63.84299805
23-03-2012,41.4775,18.8625,75.6225,41.60950195,111.6590039,25.20800049,30.18399902,29.05449951,34.52350098,2.4075,64.6375
26-03-2012,40.93,18.65699951,73.96850098,40.62100098,111.6534961,24.69649902,29.5425,28.46600098,33.62,2.32100006,63.25600098
27-03-2012,41.06950195,18.8225,74.24549805,41.17149902,113.5979981,24.9175,29.96350098,28.51550049,33.90850098,2.3575,64.06200195
28-03-2012,40.83949951,18.74699951,73.35149902,40.47350098,113.7115039,24.73050049,29.67149902,28.11149902,33.24949951,2.31649994,63.2075
29-03-2012,41.05950195,18.78949951,73.525,40.46,112.92,24.54300049,29.7425,28.16449951,33.01800049,2.32100006,62.92700195
30-03-2012,42.07,19.11849976,75.57200195,41.4375,114.2604981,25.09149902,30.5475,29.00149902,33.85100098,2.39050003,64.42899902
02-04-2012,42.16299805,19.17599976,75.42399902,41.91450195,114.387002,25.4775,30.4225,29.23649902,34.17,2.43100006,65.0225
03-04-2012,42.09950195,19.20849976,76.58649902,42.44399902,114.61,25.7675,30.92149902,29.65449951,34.59050049,2.45199997,65.51399902
04-04-2012,41.88799805,19.06099976,76.20299805,42.07200195,114.3134961,25.61050049,30.59850098,29.67550049,34.55449951,2.41550003,65.03600098
09-04-2012,41.39350098,18.8875,75.05549805,41.13799805,113.7734961,25.0075,29.5425,28.93350098,33.71800049,2.39800003,63.87350098
10-04-2012,41.84100098,19.03300049,74.99600098,41.42649902,115.7825,24.965,29.26649902,28.59899902,34.14399902,2.40100006,63.9475
11-04-2012,41.68299805,18.94849976,74.39399902,41.51149902,115.902002,24.7075,28.86399902,28.54399902,34.12649902,2.38050003,63.94450195
12-04-2012,42.14899902,19.12599976,74.91549805,42.1325,117.6454981,24.89600098,29.5975,28.65100098,34.94699951,2.38649994,64.34399902
13-04-2012,42.2975,19.16599976,75.28649902,41.82200195,118.2240039,24.77449951,29.45550049,28.66550049,34.59949951,2.35800003,62.43850098
16-04-2012,42.84950195,19.1625,75.01450195,42.13649902,119.5554981,24.81100098,29.52800049,28.6525,35.285,2.38449997,62.54649902
17-04-2012,43.25950195,19.37599976,75.79149902,42.55850098,121.2584961,25.27949951,30.10350098,29.3525,35.6275,2.44300003,63.23200195
18-04-2012,43.89600098,19.49699951,76.32350098,42.48,120.417002,25.22050049,30.38600098,29.44699951,35.39449951,2.41699997,63.18
19-04-2012,44.71299805,19.65449951,76.02350098,42.82600098,121.5584961,25.09800049,30.60399902,29.46850098,35.04699951,2.40350006,63.56549805
20-04-2012,44.72399902,19.63349976,74.99700195,42.33549805,121.7504981,24.73,30.33199951,29.14199951,34.76550049,2.365,63.03399902
23-04-2012,43.96299805,19.32400024,74.70149902,41.67200195,120.5784961,23.97550049,29.41,28.77550049,33.85449951,2.28850006,61.66700195
24-04-2012,43.95649902,19.32199951,74.82450195,41.55350098,120.9829981,23.79449951,29.62449951,28.83899902,33.91550049,2.29350006,62.27100098
25-04-2012,44.16450195,19.38199951,74.42549805,41.26850098,121.527002,23.77,29.49850098,28.41050049,33.52949951,2.26399994,61.76549805
26-04-2012,43.77049805,19.27099976,74.0975,41.07200195,122.1515039,23.485,29.47949951,28.19399902,33.12300049,2.24399994,61.47100098
27-04-2012,43.84399902,19.24550049,74.0275,41.20049805,121.1565039,23.41449951,29.22800049,28.03699951,32.6475,2.21800003,61.7
30-04-2012,44.33149902,19.40150024,75.03299805,41.54149902,121.3984961,23.62800049,29.7025,28.39050049,33.13449951,2.26699997,62.61549805
02-05-2012,43.56899902,19.44300049,74.41850098,41.63600098,121.6854981,23.5125,29.57,28.09600098,33.19699951,2.26199997,62.785
03-05-2012,42.50399902,19.22900024,73.76799805,41.00399902,121.1554981,23.25050049,29.02149902,27.78399902,32.33399902,2.22449997,62.17700195
04-05-2012,41.74649902,18.92849976,72.46850098,39.86600098,119.9065039,22.60699951,28.285,27.21199951,31.12399902,2.16800003,60.88149902
07-05-2012,42.28899902,18.9975,72.25200195,40.16449951,118.7940039,23.18949951,28.71800049,27.4325,31.36949951,2.17550003,61.21
08-05-2012,41.4225,18.70699951,71.53100098,39.15850098,115.805,22.52600098,28.25199951,27.2675,30.4325,2.13949997,59.67549805
09-05-2012,41.05399902,18.67800049,70.44600098,38.61399902,119.449502,22.20649902,27.675,26.95550049,29.36050049,2.07800003,58.98399902
10-05-2012,40.7275,18.64650024,70.58299805,38.60550049,119.4009961,22.15050049,27.33550049,26.98949951,29.055,2.07100006,58.96399902
11-05-2012,40.94100098,18.50599976,70.06049805,38.4725,117.6940039,21.91850098,27.00899902,26.6875,29.14100098,2.06550003,58.59350098
14-05-2012,40.735,18.59449951,69.11299805,38.04949951,117.9554981,21.89300049,26.86600098,26.56050049,28.69300049,2.02899994,58.27
15-05-2012,40.76050049,18.62550049,69.1525,38.27300049,117.0109961,22.24199951,27.41199951,26.5275,28.97850098,2.04850006,58.68299805
16-05-2012,39.73800049,18.39400024,68.75799805,37.42600098,115.6484961,21.835,26.65350098,26.19699951,28.44800049,2.03550003,57.58850098
17-05-2012,39.52550049,18.34900024,69.0575,37.59699951,117.9459961,21.60550049,26.75800049,26.19550049,28.62800049,2.05300003,57.74200195
18-05-2012,38.75850098,18.27599976,69.49100098,38.08,119.3565039,21.55199951,26.8725,26.27649902,29.40550049,2.05399994,58.18799805
21-05-2012,39.03100098,18.34400024,69.93299805,38.4725,117.6459961,21.87949951,27.04850098,26.34300049,30.13100098,2.0975,58.4175
22-05-2012,38.78050049,18.10699951,69.2325,38.005,116.7704981,21.47449951,26.545,26.19850098,29.48449951,2.07050003,57.93049805
23-05-2012,38.53699951,17.95300049,68.94200195,37.75100098,116.665,21.16149902,26.30949951,26.20899902,29.4225,2.04850006,57.61200195
24-05-2012,38.93300049,18.135,70.1625,38.84550049,117.1404981,21.55550049,26.6775,26.6125,29.80649902,2.06449997,58.92899902
25-05-2012,38.84149902,18.08550049,70.10399902,38.80850098,116.687002,21.74149902,26.90550049,26.72800049,30.14,2.08149994,58.93350098
28-05-2012,39.46899902,18.32449951,70.625,39.64800049,117.8334961,22.15399902,27.16699951,26.77100098,31.22800049,2.10600006,59.88200195
29-05-2012,39.58850098,18.33300049,70.87549805,39.59600098,116.6115039,22.12850098,27.31600098,26.89949951,31.3625,2.12100006,60.04850098
30-05-2012,38.14149902,18.2925,70.66899902,39.00550049,116.6825,21.91399902,27.06100098,26.53899902,30.79149902,2.06300003,59.58450195
31-05-2012,37.3975,18.28949951,70.73549805,38.69100098,116.4615039,21.86449951,26.98550049,26.59699951,30.82699951,2.08,59.35799805
01-06-2012,36.70800049,18.00699951,69.15100098,37.99800049,116.8740039,21.41199951,26.54649902,26.2975,30.14649902,2.04649994,58.3325
04-06-2012,36.9525,17.8375,69.605,38.21699951,115.0259961,21.52300049,26.355,26.49550049,30.44850098,2.08300003,58.36100098
05-06-2012,36.855,17.82099976,70.21899902,38.50449951,113.779502,21.6975,26.26800049,26.52100098,30.99050049,2.05899994,58.73600098
06-06-2012,38.21550049,18.32199951,71.81,39.545,117.2065039,22.5175,27.05649902,27.10699951,32.02699951,2.11350006,60.19850098
07-06-2012,38.71449951,18.56550049,72.28700195,40.285,118.13,22.76899902,27.39649902,27.22050049,32.16350098,2.15850006,60.9825
08-06-2012,38.7275,18.58949951,72.55,40.38199951,119.099502,23.0625,27.52050049,27.23649902,32.48600098,2.195,61.04350098
11-06-2012,38.46699951,18.5775,72.17850098,40.33649902,119.4425,22.91850098,27.49600098,27.20399902,32.19850098,2.17399994,60.99299805
12-06-2012,39.14300049,18.76800049,72.70850098,40.9025,120.3059961,23.26350098,27.8025,27.54399902,32.98050049,2.21800003,61.72899902
13-06-2012,38.51699951,18.74050049,72.54,40.93149902,121.774502,23.34399902,27.70050049,27.6925,33.11949951,2.18449997,61.69200195
14-06-2012,37.78949951,18.61650024,72.06299805,39.85050049,121.37,22.75699951,27.37399902,27.35399902,31.98649902,2.12100006,60.675
15-06-2012,38.76699951,18.84400024,72.675,40.62899902,122.8979981,23.11949951,27.75850098,27.5,32.50100098,2.16149994,61.65450195
18-06-2012,38.5,18.67849976,72.02850098,39.54699951,120.9459961,22.88100098,27.50699951,27.25,31.255,2.1,60.43100098
19-06-2012,38.50399902,18.76300049,73.28399902,39.75850098,122.742002,23.0075,27.48300049,27.59350098,31.26100098,2.10350006,60.64549805
20-06-2012,38.895,18.8275,73.75100098,39.8625,122.459502,23.16649902,27.7825,27.83600098,31.5725,2.10100006,60.67799805
21-06-2012,39.17850098,18.97849976,73.23649902,40.595,124.359502,23.58600098,27.98850098,28.19050049,32.28600098,2.16800003,61.39149902
22-06-2012,39.20800049,18.98099976,73.19549805,40.47550049,123.9579981,23.47449951,27.55899902,28.24350098,32.22449951,2.17550003,61.28950195
25-06-2012,38.95350098,18.87949951,72.97450195,40.185,123.8325,23.28800049,27.36050049,27.95050049,31.80899902,2.16100006,60.865
26-06-2012,39.07050049,18.89900024,73.8575,40.28050049,122.829502,23.31699951,27.26949951,28.27050049,31.95449951,2.17,61.00700195
27-06-2012,38.80899902,18.97550049,73.96350098,40.53300049,123.4659961,23.395,27.72399902,28.45850098,31.99050049,2.17699997,61.43399902
28-06-2012,38.86899902,19.01050049,73.85649902,40.4925,124.629502,23.41449951,27.765,28.4725,31.84100098,2.1775,61.39549805
29-06-2012,39.66399902,19.44199951,75.435,41.71649902,127.2909961,24.15899902,28.70350098,29.07050049,32.59699951,2.22949997,62.93200195
02-07-2012,39.43949951,19.43650024,75.60350098,42.07649902,124.559502,24.35,28.82899902,29.26050049,32.83399902,2.28,63.22649902
03-07-2012,39.49449951,19.5675,75.88299805,42.45649902,123.4704981,24.495,29.05800049,29.5525,32.98850098,2.32550003,63.5725
04-07-2012,39.69850098,19.64699951,75.61,42.67100098,123.1615039,24.83550049,29.65600098,29.44399902,33.40899902,2.36899994,63.865
05-07-2012,39.99149902,19.67699951,75.65850098,43.07049805,124.659502,24.97149902,29.56149902,29.36600098,33.57300049,2.36149994,64.21950195
06-07-2012,39.83649902,19.58650024,75.30049805,43.2075,125.487002,24.71050049,29.24949951,29.34600098,33.3725,2.33050003,64.10450195
09-07-2012,39.45050049,19.32050049,74.79049805,42.855,124.6509961,24.35949951,28.82350098,29.12949951,33.01949951,2.30399994,63.63200195
10-07-2012,40.065,19.52199951,75.44600098,43.50799805,126.7379981,24.74449951,29.26399902,29.32800049,33.49100098,2.34149994,64.40950195
11-07-2012,39.60899902,19.37400024,74.66850098,43.31299805,124.9915039,24.67100098,28.98,29.17649902,33.37600098,2.31800003,64.13649902
12-07-2012,39.21550049,19.27800049,74.74799805,42.93899902,124.8475,24.34,28.64600098,29.3025,33.14149902,2.34050003,62.77
13-07-2012,39.19350098,19.25150024,74.65450195,42.89649902,125.2334961,24.24949951,28.3175,29.36699951,32.77949951,2.30899994,62.66450195
16-07-2012,38.88800049,19.27800049,74.63549805,42.85950195,124.7609961,24.17050049,27.70149902,29.26649902,32.91449951,2.27100006,62.28649902
17-07-2012,38.36699951,19.23849976,74.27850098,42.85850098,126.0579981,24.04350098,27.67399902,29.12899902,32.8175,2.23949997,62.2
18-07-2012,38.61550049,19.39849976,74.19899902,43.115,126.1475,24.2325,28.08399902,29.19949951,32.44399902,2.25800003,62.47649902
19-07-2012,38.45899902,19.28050049,75.06649902,43.31799805,126.0379981,24.23649902,28.32350098,29.34550049,32.045,2.27149994,62.83700195
20-07-2012,38.56649902,19.36050049,74.51149902,42.70450195,125.8934961,24.04699951,28.34399902,29.08449951,31.76550049,2.24850006,62.26149902
23-07-2012,37.63199951,19.01900024,73.70799805,41.94950195,124.5054981,23.49,27.405,28.62350098,31.12800049,2.18449997,61.17200195
24-07-2012,37.58550049,19.18900024,74.14100098,42.00049805,126.8275,23.41050049,27.4525,28.75,31.17649902,2.17899994,61.12049805
25-07-2012,37.35850098,19.07099976,73.64899902,41.88799805,127.5415039,23.10100098,26.87699951,28.53850098,30.76649902,2.17800003,60.95049805
26-07-2012,37.01149902,18.92550049,72.54149902,41.27350098,125.5590039,22.785,26.51899902,28.12600098,29.88,2.10100006,60.04149902
27-07-2012,37.35149902,19.02150024,73.32049805,41.59600098,127.2465039,22.89,27.08199951,28.25899902,28.68399902,2.0825,60.59049805
30-07-2012,38.18199951,19.29599976,74.61149902,42.55549805,128.545,23.60800049,27.6025,28.72899902,29.8475,2.15850006,61.91549805
31-07-2012,38.2975,19.27800049,75.67700195,42.68149902,128.9329981,23.49550049,27.83149902,29.00850098,29.58050049,2.18300003,62.055
01-08-2012,38.235,19.29199951,75.6575,42.98100098,129.4525,23.64850098,27.62800049,28.92,29.91100098,2.20149994,62.19299805
02-08-2012,38.04100098,19.35949951,75.08700195,42.81549805,130.3675,23.76199951,27.5725,28.90399902,29.65699951,2.19399994,62.07100098
03-08-2012,37.78699951,19.32650024,75.53,42.61,129.8725,23.665,27.14449951,28.97149902,29.50300049,2.17949997,61.91450195
06-08-2012,38.52050049,19.39550049,77.65200195,43.28950195,129.5979981,23.9225,27.43800049,29.13100098,29.63199951,2.20800003,62.515
07-08-2012,39.10550049,19.46300049,77.77149902,43.89450195,130.3640039,24.03300049,27.59149902,29.28449951,30.01399902,2.24100006,63.3825
08-08-2012,39.51199951,19.38349976,77.92649902,43.71149902,130.7640039,23.67850098,27.79699951,29.2625,29.925,2.19100006,63.02100098
09-08-2012,39.6925,19.43449951,77.33600098,43.21450195,132.694502,23.53649902,27.96199951,29.2575,28.9425,2.18399994,62.40450195
